原文,当前译文,状态,来源
"This book talks in depth about the elements of swordsmanship: weapon terminology, proper body postures, offensive and defensive maneuvers, and detailed analysis of legendary sword fights. By the end of the book you know a great deal more about swordsmanship than you did before.","This book talks in depth about the elements of swordsmanship: weapon terminology, proper body postures, offensive and defensive maneuvers, and detailed analysis of legendary sword fights. By the end of the book you know a great deal more about swordsmanship than you did before.",pending,existing_corpus | exe:resource@0x552770:line
"This book talks in depth about the design of locks throughout history: analysis of security features, lock craftsmanship, historical lock designs and lock picking theory. By the end of the book you feel you have a great understanding about the mechanical functionality of locks.","This book talks in depth about the design of locks throughout history: analysis of security features, lock craftsmanship, historical lock designs and lock picking theory. By the end of the book you feel you have a great understanding about the mechanical functionality of locks.",pending,existing_corpus | exe:resource@0x552770:line
"This book is a historical account of how war mauls and hammers have been used in battles since the beginning of time. You learn much about the various designs of bludgeoning weapons, how the most successful warriors wielded them, and even how to splinter every single rib in a man's chest with a hammer strike to the sternum. By the end of the book you are much more learned in the use of hammers than you were before.","This book is a historical account of how war mauls and hammers have been used in battles since the beginning of time. You learn much about the various designs of bludgeoning weapons, how the most successful warriors wielded them, and even how to splinter every single rib in a man's chest with a hammer strike to the sternum. By the end of the book you are much more learned in the use of hammers than you were before.",pending,existing_corpus | exe:resource@0x552770:line
"This book is a historical account of a Ranger named Tyrus of Blackbarrow. By reading it you learn of his legendary skills with a bow, his techniques for greater accuracy, his opinions on bow designs and arrow variations. In addition to being amused by accounts of Tyrus splitting boulders in two with a single arrow, you gain tremendous insight to the field of archery.","This book is a historical account of a Ranger named Tyrus of Blackbarrow. By reading it you learn of his legendary skills with a bow, his techniques for greater accuracy, his opinions on bow designs and arrow variations. In addition to being amused by accounts of Tyrus splitting boulders in two with a single arrow, you gain tremendous insight to the field of archery.",pending,existing_corpus | exe:resource@0x552770:line
"This book is a rogue's guide to using shadow and darkness to conceal your presence. It describes techniques for finding the darkest corners in rooms, using soot to blacken shiny armor and weapons, and anticipating the changing path of shadows cast by moving light sources. By the end of the book you feel as though you have a better understanding of shadow hiding techniques.","This book is a rogue's guide to using shadow and darkness to conceal your presence. It describes techniques for finding the darkest corners in rooms, using soot to blacken shiny armor and weapons, and anticipating the changing path of shadows cast by moving light sources. By the end of the book you feel as though you have a better understanding of shadow hiding techniques.",pending,existing_corpus | exe:resource@0x552770:line
"This book is a primer to the Elemental realm of arcane magick. It starts by describing the fundamental aspects of the four cosmic elements and how magick employs them. You learn the basics of casting, tips on how to suppress aborted spells, and proper somatic postures for more advanced casting. Although this book was clearly written for novices, you feel you've learned quite a bit about Elemental Magick.","This book is a primer to the Elemental realm of arcane magick. It starts by describing the fundamental aspects of the four cosmic elements and how magick employs them. You learn the basics of casting, tips on how to suppress aborted spells, and proper somatic postures for more advanced casting. Although this book was clearly written for novices, you feel you've learned quite a bit about Elemental Magick.",pending,existing_corpus | exe:resource@0x552770:line
"This book is a primer for the realm of Divination magick. It outlines the many gods that are believed to be the source of this magick and how the caster becomes a channel for their divine powers. Likewise you learn various casting techniques for stronger spells, the pros and cons of using dark divination, and the basics of ""natural casting"" for atheists who study the field of Divination. By the end of the book you feel as if you've learned quite a bit about the realm of Divination magick.","This book is a primer for the realm of Divination magick. It outlines the many gods that are believed to be the source of this magick and how the caster becomes a channel for their divine powers. Likewise you learn various casting techniques for stronger spells, the pros and cons of using dark divination, and the basics of ""natural casting"" for atheists who study the field of Divination. By the end of the book you feel as if you've learned quite a bit about the realm of Divination magick.",pending,existing_corpus | exe:resource@0x552770:line
"This book talks in depth about the skill of Cartography. By reading it you learn of various techniques for measuring distance and determining world location, direction-sensing underground, avoiding common mapping mistakes and even the complex art of map folding. By the end of the book you feel as if you've learned quite a bit about this subject.","This book talks in depth about the skill of Cartography. By reading it you learn of various techniques for measuring distance and determining world location, direction-sensing underground, avoiding common mapping mistakes and even the complex art of map folding. By the end of the book you feel as if you've learned quite a bit about this subject.",pending,existing_corpus | exe:resource@0x552770:line
"This book is a rogue's field guide to the art of spotting hidden objects in your surroundings. It discusses what features to look for, popular hiding locations for traps and treasure, and techniques for investigating loose stones or suspicious flooring. By the end of the book you clearly have an improved ability to spot hidden features in your surrounding.","This book is a rogue's field guide to the art of spotting hidden objects in your surroundings. It discusses what features to look for, popular hiding locations for traps and treasure, and techniques for investigating loose stones or suspicious flooring. By the end of the book you clearly have an improved ability to spot hidden features in your surrounding.",pending,existing_corpus | exe:resource@0x552770:line
"This book is a textbook for understanding commerce. In it you learn concepts of bartering and exchange, how to accurately appraise goods, and how to best haggle with a stubborn merchant. By the end of the book your understanding of the business of trade has improved vastly.","This book is a textbook for understanding commerce. In it you learn concepts of bartering and exchange, how to accurately appraise goods, and how to best haggle with a stubborn merchant. By the end of the book your understanding of the business of trade has improved vastly.",pending,existing_corpus | exe:resource@0x552770:line
"This book is a guide to the use of light armors. By reading it you learn of light armor variations, proper care for armor, and techniques for maximizing your armor's protective ability. By the end of the guide you feel as though your understanding of light armor has greatly improved.","This book is a guide to the use of light armors. By reading it you learn of light armor variations, proper care for armor, and techniques for maximizing your armor's protective ability. By the end of the guide you feel as though your understanding of light armor has greatly improved.",pending,existing_corpus | exe:resource@0x552770:line
"This book is a guide to the use of heavy armors. By reading it you learn of heavy armor variations, proper care for armor, and techniques for minimizing the fatigue incurred while using heavy armor. By the end of the guide you feel as though your understanding of heavy armor has greatly improved.","This book is a guide to the use of heavy armors. By reading it you learn of heavy armor variations, proper care for armor, and techniques for minimizing the fatigue incurred while using heavy armor. By the end of the guide you feel as though your understanding of heavy armor has greatly improved.",pending,existing_corpus | exe:resource@0x552770:line
"This book covers the history of traps as used for both trickery and warfare. As you page through the chapters you learn of the many designs of traps, their construction and functionality, and of course the best way to disarm a loaded trap. By the end of the book your understanding of skullduggery has increased tremendously.","This book covers the history of traps as used for both trickery and warfare. As you page through the chapters you learn of the many designs of traps, their construction and functionality, and of course the best way to disarm a loaded trap. By the end of the book your understanding of skullduggery has increased tremendously.",pending,existing_corpus | exe:resource@0x552770:line
"This book covers the basics of Alchemy. Within the pages you find descriptions of reagents and reactants, mixing techniques for beginners, how to tell when a potion has turned sour, and how to improve the potency of certain concoctions. By the end of the book you feel as though your knowledge of alchemy has improved.","This book covers the basics of Alchemy. Within the pages you find descriptions of reagents and reactants, mixing techniques for beginners, how to tell when a potion has turned sour, and how to improve the potency of certain concoctions. By the end of the book you feel as though your knowledge of alchemy has improved.",pending,existing_corpus | exe:resource@0x552770:line
"$, *Well done! If you are reading this then you have completed a difficult series of tasks designed to ensure your safety. Although enough time has passed for you to have firmly solidified your new identity, the danger surrounding your previous identity is not completely eliminated. Still, it should be a bit safer now to fill you in on some of the mystery surrounding your past. *First, you undoubtedly see the large gemstone in the box along with this note. Yes, this is the legendary ""Crux of Ages"" that I'm sure you have heard about. Take it with you and keep it close. It will protect you, but if you show it to anyone it will certainly lead to your death. *Now for how this came into your possession: you found it while scavenging a goblin battlefield looking for valuables. I cannot describe the details of the actual discovery to you now because if it were to trigger memories of the event, your life would be in certain danger. Let me explain: *A powerful Goblin Shaman named Gramuk is using a technique called ""Temporal Linking"" to locate the person who recovered the Crux. You see, every action you do is etched in your mind as a memory, forever linked to a lifetime of previously accumulated memories. Thus, the event of you finding the Crux was linked to all the memories associated with your prior identity. Scryers who perform Temporal Linking can use these linked memories to identify and locate people by focusing in on specific events. Erasing your identity and all associated memories means Gramuk is unable to connect the event of recovering the gemstone back to you. Even after taking possession of the Crux now, the lack of chronological memories linking you to the gem means it will be many weeks before Gramuk will be able to scry enough information to locate you. *So have you figured out who I am yet? Certainly you must have speculated by now that I am you. Yes, you set this all up to protect yourself- you wrote these notes and devised this scheme to destroy your memory and build a new identity. *Now this is where things get complicated and I will do my best to help you understand what is happening. First, you were not alone when you found the Crux: your brother was with you and shared in the recovery and concealment of the gemstone. He had planned to erase his memory along with you, but he was located and captured by the Goblins before he was able to complete the task. The only chance you had of helping him was to follow through with the plan and erase your own memory first. Now that you've accomplished this, you must locate and help your brother. The Goblins will keep him alive as long as they believe they can extract information from him, but the torture he must be enduring is unthinkable. Days ago, just before you erased your memory, you heard from a Ranger passing through Tanglewood that he may have been taken to the abandoned city Vela, which is now a goblin outpost. *There are many more questions surrounding this war, such as the Chancellor believing that the Orakur have stolen the gem even though evidence strongly points to the Goblins. This evidence, along with the Chancellor's incongruous war plan to abandon security across Thaermore, substantiates the theory that Gramuk is somehow influencing the Chancellor. While you may believe none of this information concerns you, it does, because eventually the Crux will be tracked back to you; eventually your brother will be killed when he is of no more use to the Goblins; and eventually all of Thaermore will fall to the spreading Goblin insurgence. Like it or not, you have become a significant factor in this war. *If you fled now, I wouldn't blame you. You could toss the gem into a river, leave your brother whom you have no memories of to his fate and start a new life somewhere else. However, I know you are stronger person than that. Please, locate and help your brother. He is the only family you have.","$, *Well done! If you are reading this then you have completed a difficult series of tasks designed to ensure your safety. Although enough time has passed for you to have firmly solidified your new identity, the danger surrounding your previous identity is not completely eliminated. Still, it should be a bit safer now to fill you in on some of the mystery surrounding your past. *First, you undoubtedly see the large gemstone in the box along with this note. Yes, this is the legendary ""Crux of Ages"" that I'm sure you have heard about. Take it with you and keep it close. It will protect you, but if you show it to anyone it will certainly lead to your death. *Now for how this came into your possession: you found it while scavenging a goblin battlefield looking for valuables. I cannot describe the details of the actual discovery to you now because if it were to trigger memories of the event, your life would be in certain danger. Let me explain: *A powerful Goblin Shaman named Gramuk is using a technique called ""Temporal Linking"" to locate the person who recovered the Crux. You see, every action you do is etched in your mind as a memory, forever linked to a lifetime of previously accumulated memories. Thus, the event of you finding the Crux was linked to all the memories associated with your prior identity. Scryers who perform Temporal Linking can use these linked memories to identify and locate people by focusing in on specific events. Erasing your identity and all associated memories means Gramuk is unable to connect the event of recovering the gemstone back to you. Even after taking possession of the Crux now, the lack of chronological memories linking you to the gem means it will be many weeks before Gramuk will be able to scry enough information to locate you. *So have you figured out who I am yet? Certainly you must have speculated by now that I am you. Yes, you set this all up to protect yourself- you wrote these notes and devised this scheme to destroy your memory and build a new identity. *Now this is where things get complicated and I will do my best to help you understand what is happening. First, you were not alone when you found the Crux: your brother was with you and shared in the recovery and concealment of the gemstone. He had planned to erase his memory along with you, but he was located and captured by the Goblins before he was able to complete the task. The only chance you had of helping him was to follow through with the plan and erase your own memory first. Now that you've accomplished this, you must locate and help your brother. The Goblins will keep him alive as long as they believe they can extract information from him, but the torture he must be enduring is unthinkable. Days ago, just before you erased your memory, you heard from a Ranger passing through Tanglewood that he may have been taken to the abandoned city Vela, which is now a goblin outpost. *There are many more questions surrounding this war, such as the Chancellor believing that the Orakur have stolen the gem even though evidence strongly points to the Goblins. This evidence, along with the Chancellor's incongruous war plan to abandon security across Thaermore, substantiates the theory that Gramuk is somehow influencing the Chancellor. While you may believe none of this information concerns you, it does, because eventually the Crux will be tracked back to you; eventually your brother will be killed when he is of no more use to the Goblins; and eventually all of Thaermore will fall to the spreading Goblin insurgence. Like it or not, you have become a significant factor in this war. *If you fled now, I wouldn't blame you. You could toss the gem into a river, leave your brother whom you have no memories of to his fate and start a new life somewhere else. However, I know you are stronger person than that. Please, locate and help your brother. He is the only family you have.",pending,existing_corpus | exe:resource@0x552770:line
"Hagbert, *Don't forget: Once you make it to the Lonely Spirits Tavern in Blackwater, you must register under the name ""Foozgrumph"" for the innkeeper to give you the proper room. Once inside the room, you'll discover that the northwest wall is false. That is how you get there. Don't fail me again Hagbert or I'll cut out your liver.""","Hagbert, *Don't forget: Once you make it to the Lonely Spirits Tavern in Blackwater, you must register under the name ""Foozgrumph"" for the innkeeper to give you the proper room. Once inside the room, you'll discover that the northwest wall is false. That is how you get there. Don't fail me again Hagbert or I'll cut out your liver.""",pending,existing_corpus | exe:resource@0x552770:line
"Gramuk leads you to a large vault just off the main vestibule in his tower room. In the vault you see huge chests filled with gold, gemstones, and priceless bars of Divine Ore. He picks up a canvas sack and begins scooping armfuls of neatly stacked coins from a table into it until the top can barely close. *""With the Crux back in our possession we now have the power to reclaim our ancient homelands. You've aided the race of Goblins, and now I make good on my offer."" Gramuk lifts the hefty sack of gold and places it in your arms. ""Take this gold, human. It is enough to buy passage out of Thaermore where you can retire as a wealthy lord. But heed this warning: once you leave this Citadel you will be just another human to us. Leave Thaermore and never return."" *You cinch the sack of gold closed and hoist it onto your shoulder. It is heavy. Perhaps its weight is more than that of the gold alone, for you realize this sack represents the death of many humans. It represents the lands of Thaermore falling to the Goblin scourge. In time, the weight of this gold may be more than you can bear, but for now your only worry is getting out of Thaermore alive. |add_gold 83510 ; screen_fade_out ; map_port 52 ; move_player 7018 ; screen_fade_in ; areacheck|","Gramuk leads you to a large vault just off the main vestibule in his tower room. In the vault you see huge chests filled with gold, gemstones, and priceless bars of Divine Ore. He picks up a canvas sack and begins scooping armfuls of neatly stacked coins from a table into it until the top can barely close. *""With the Crux back in our possession we now have the power to reclaim our ancient homelands. You've aided the race of Goblins, and now I make good on my offer."" Gramuk lifts the hefty sack of gold and places it in your arms. ""Take this gold, human. It is enough to buy passage out of Thaermore where you can retire as a wealthy lord. But heed this warning: once you leave this Citadel you will be just another human to us. Leave Thaermore and never return."" *You cinch the sack of gold closed and hoist it onto your shoulder. It is heavy. Perhaps its weight is more than that of the gold alone, for you realize this sack represents the death of many humans. It represents the lands of Thaermore falling to the Goblin scourge. In time, the weight of this gold may be more than you can bear, but for now your only worry is getting out of Thaermore alive. |add_gold 83510 ; screen_fade_out ; map_port 52 ; move_player 7018 ; screen_fade_in ; areacheck|",pending,existing_corpus
"Gramuk escorts you through a secret tunnel underneath the Goblin Citadel. He says nothing as he leads you to a small door that he opens and promptly pushes you out of. With the sound of the door closing behind you, you realize it is all over. You stand there against the Citadel wall taking in the events that had just transpired while the desert winds howl and bite your face with sand. Everything happened so quickly that it may be days before the weight of your actions set in. Suddenly, the sound of Goblin war drums carried on the wind bring you back to the matter at hand: leaving this area as quickly as possible. *Under the blanket of the encroaching night, you make your way north to the Nimmia River where you are able to buy passage aboard a supply ship heading northwest into Eschalon.","Gramuk escorts you through a secret tunnel underneath the Goblin Citadel. He says nothing as he leads you to a small door that he opens and promptly pushes you out of. With the sound of the door closing behind you, you realize it is all over. You stand there against the Citadel wall taking in the events that had just transpired while the desert winds howl and bite your face with sand. Everything happened so quickly that it may be days before the weight of your actions set in. Suddenly, the sound of Goblin war drums carried on the wind bring you back to the matter at hand: leaving this area as quickly as possible. *Under the blanket of the encroaching night, you make your way north to the Nimmia River where you are able to buy passage aboard a supply ship heading northwest into Eschalon.",pending,existing_corpus | exe:resource@0x552770:line
"This book is about a dwarf named Biggins, purportedly the greatest lumberjack who ever lived. He wielded a 45 pound mithril axe and could fell a tree in a single stroke. Within the pages you read of his amazing skills and his tips for keeping an axe razor sharp. A chapter also describes his time serving in the Dwarven Legion of Defenders, where he single-handedly slew 100 mercenary raiders with his axe. By the end of the book you have greatly increased your knowledge of cleaving weapons.","This book is about a dwarf named Biggins, purportedly the greatest lumberjack who ever lived. He wielded a 45 pound mithril axe and could fell a tree in a single stroke. Within the pages you read of his amazing skills and his tips for keeping an axe razor sharp. A chapter also describes his time serving in the Dwarven Legion of Defenders, where he single-handedly slew 100 mercenary raiders with his axe. By the end of the book you have greatly increased your knowledge of cleaving weapons.",pending,existing_corpus | exe:resource@0x552770:line
"Imbuing your weapons or armor to increases effectiveness is an art going back a thousand years. You will notice that Ectoplasm is the primary reagent needed in all three enhancements: *To increase the damage of a weapon, use Ectoplasm and Serpent Venom. *To increase the armor penetrating ability of a weapon, use Ectoplasm and Mercury. *To increase the protection of armor, use Ectoplasm and Spider Silk. *The important thing to remember is to put these ingredients directly on the object to be imbued; do not mix these in a flask! You must also be skilled in Alchemy to at least level 5 before trying to imnbue any weapons or armor. Master Alchemists of skill 15 or higher achieve the greatest imbuement effects.","Imbuing your weapons or armor to increases effectiveness is an art going back a thousand years. You will notice that Ectoplasm is the primary reagent needed in all three enhancements: *To increase the damage of a weapon, use Ectoplasm and Serpent Venom. *To increase the armor penetrating ability of a weapon, use Ectoplasm and Mercury. *To increase the protection of armor, use Ectoplasm and Spider Silk. *The important thing to remember is to put these ingredients directly on the object to be imbued; do not mix these in a flask! You must also be skilled in Alchemy to at least level 5 before trying to imnbue any weapons or armor. Master Alchemists of skill 15 or higher achieve the greatest imbuement effects.",pending,existing_corpus | exe:resource@0x552770:line
"This hefty tome recounts the early years of Thaermore's history in exhausting detail. Thankfully, the first chapter is an abridged timeline of events covered within the book. *CHAPTER 1 : An abridgment of historical events concerning Thaermore, eastern province of Eschalon. *--- *Year 390 - Dwarven explorer Koru Keyhammer reaches the Eastern lands known as Thaermore and reports of vast natural resources and deposits of gold, ore and gemstones. *Year 405 - The first permanent settlement called ""Loneloft"" is established in the mountains of western Thaermore; its founders are primarily miners and surveyors. *Year 409 - Loneloft settlers report they have encountered a peaceful race of subterranean peoples known as the Orakur. They are described as Dwarvish in build but more adapted for permanent life underground, with large eyes and little hair. *Year 419 - Skirmishes arise over control of the mines as the Orakur claim the settlers are stealing minerals from what they refer to as the ""Great Underground"". By Year 423 these small skirmishes had escalated into war, later to be called The Plague Wars. Dwarven settlers sign an accord absolving themselves from warring with Orakur because of a perceived kinship. Because of this accord, the Dwarven people abandon their claims and leave Thaermore; Thaermore forever becomes predominately occupied by the race of Men. *Year 425 - While mining for copper a settler named Sam of Thorabur discovers a massive gemstone that would become known as ""The Crux of Ages"". Because of the ongoing conflict with the Orukur the rough stone is hidden away in Bastion Spire, a stronghold which would later become the capitol of Thaermore. *Year 433 - The first governing body of Thaermore is formed. It was decreed that a lifetime Chancellor would be elected to represent the will of people. He is given the highest authority and has a council of twelve advisors, known as The Grand Scholars, serve with him. *435 - Chancellor Marr is elected as the first governor of Thaermore. Under his leadership, Thaermore establishes the Commonwealth Guard, which becomes the turning point in the war with the Orakur. *444 - The Orakur are suppressed and driven deep underground. Chancellor Marr declares victory in the war. The Orakur disappear completely and many assume the whole populous must have succumbed to disease or starvation. Dwarven Lords from outside Thaermore condemn Chancellor Marr for his unethical warfare tactics; relations between the race of Dwarves and Men are fractured. *471 - Chancellor Marr dies after 36 years of distinguished service. Chancellor Marr II, later known as ""The Great One"", superseded his father as Chancellor. This officially begins the golden age of expansion and prosperity for Thaermore. *509 - Chancellor Torrus I supersedes Chancellor Marr II. *537 - Chancellor Katerra I supersedes Chancellor Torrus I. *[There is an entry here that has been blackened out by ink] *590 - Goblin skirmishes arise in Crakamir. The Chancellor, unwilling to squander resources defending a wasteland, concedes Crakamir to the Goblins. Elsewhere in Thaermore, the Commonwealth Guard is successful in eliminating the Goblin threat. *627 - A devastating earthquake shakes the eastern province, tearing great rifts into the land. The Orakur, long believed to have been decimated, reappear from the great fissures. Surveyors who spot them claimed they appeared skittish and non-hostile. Elusive and rarely seen above ground, the reappearance of the Orakur is not considered a threat and they are all but forgotten. *The timeline ends here, although it looks like the following page may have been ripped from the book.","This hefty tome recounts the early years of Thaermore's history in exhausting detail. Thankfully, the first chapter is an abridged timeline of events covered within the book. *CHAPTER 1 : An abridgment of historical events concerning Thaermore, eastern province of Eschalon. *--- *Year 390 - Dwarven explorer Koru Keyhammer reaches the Eastern lands known as Thaermore and reports of vast natural resources and deposits of gold, ore and gemstones. *Year 405 - The first permanent settlement called ""Loneloft"" is established in the mountains of western Thaermore; its founders are primarily miners and surveyors. *Year 409 - Loneloft settlers report they have encountered a peaceful race of subterranean peoples known as the Orakur. They are described as Dwarvish in build but more adapted for permanent life underground, with large eyes and little hair. *Year 419 - Skirmishes arise over control of the mines as the Orakur claim the settlers are stealing minerals from what they refer to as the ""Great Underground"". By Year 423 these small skirmishes had escalated into war, later to be called The Plague Wars. Dwarven settlers sign an accord absolving themselves from warring with Orakur because of a perceived kinship. Because of this accord, the Dwarven people abandon their claims and leave Thaermore; Thaermore forever becomes predominately occupied by the race of Men. *Year 425 - While mining for copper a settler named Sam of Thorabur discovers a massive gemstone that would become known as ""The Crux of Ages"". Because of the ongoing conflict with the Orukur the rough stone is hidden away in Bastion Spire, a stronghold which would later become the capitol of Thaermore. *Year 433 - The first governing body of Thaermore is formed. It was decreed that a lifetime Chancellor would be elected to represent the will of people. He is given the highest authority and has a council of twelve advisors, known as The Grand Scholars, serve with him. *435 - Chancellor Marr is elected as the first governor of Thaermore. Under his leadership, Thaermore establishes the Commonwealth Guard, which becomes the turning point in the war with the Orakur. *444 - The Orakur are suppressed and driven deep underground. Chancellor Marr declares victory in the war. The Orakur disappear completely and many assume the whole populous must have succumbed to disease or starvation. Dwarven Lords from outside Thaermore condemn Chancellor Marr for his unethical warfare tactics; relations between the race of Dwarves and Men are fractured. *471 - Chancellor Marr dies after 36 years of distinguished service. Chancellor Marr II, later known as ""The Great One"", superseded his father as Chancellor. This officially begins the golden age of expansion and prosperity for Thaermore. *509 - Chancellor Torrus I supersedes Chancellor Marr II. *537 - Chancellor Katerra I supersedes Chancellor Torrus I. *[There is an entry here that has been blackened out by ink] *590 - Goblin skirmishes arise in Crakamir. The Chancellor, unwilling to squander resources defending a wasteland, concedes Crakamir to the Goblins. Elsewhere in Thaermore, the Commonwealth Guard is successful in eliminating the Goblin threat. *627 - A devastating earthquake shakes the eastern province, tearing great rifts into the land. The Orakur, long believed to have been decimated, reappear from the great fissures. Surveyors who spot them claimed they appeared skittish and non-hostile. Elusive and rarely seen above ground, the reappearance of the Orakur is not considered a threat and they are all but forgotten. *The timeline ends here, although it looks like the following page may have been ripped from the book.",pending,existing_corpus | exe:resource@0x552770:line
"My dearest sister Penelope, *We have reached the Southern Gates only to find them sealed and with no way to pass into Thaermore. Our caravan leader assured us the gates would be passable, but now we are stuck in Crakamir. Some of the travelers want to return south, others want to stay and find a way north. Either way we are in grave danger if we remain here much longer. *I am writing you this letter in the hope that it reaches you. At daybreak we are going to send someone from the caravan to scout ahead and find a passage to Blackwater. I will give him this letter and instruct him to deliver it to you when he reaches Blackwater. *Sis, I am very fearful. All night we have heard sounds in the darkness. I think our caravan may be encircled, but by what I do not know. We keep the fires burning bright to scare off any creatures, but I think it may be attracting them. *-Mort- |condition (This letter may be of value to this Penelope woman. Do you want to attempt to deliver it to her? Clicking &yes will add it to your quest journal.) (Yes) (No) ; quest 61 1|","My dearest sister Penelope, *We have reached the Southern Gates only to find them sealed and with no way to pass into Thaermore. Our caravan leader assured us the gates would be passable, but now we are stuck in Crakamir. Some of the travelers want to return south, others want to stay and find a way north. Either way we are in grave danger if we remain here much longer. *I am writing you this letter in the hope that it reaches you. At daybreak we are going to send someone from the caravan to scout ahead and find a passage to Blackwater. I will give him this letter and instruct him to deliver it to you when he reaches Blackwater. *Sis, I am very fearful. All night we have heard sounds in the darkness. I think our caravan may be encircled, but by what I do not know. We keep the fires burning bright to scare off any creatures, but I think it may be attracting them. *-Mort- |condition (This letter may be of value to this Penelope woman. Do you want to attempt to deliver it to her? Clicking &yes will add it to your quest journal.) (Yes) (No) ; quest 61 1|",pending,existing_corpus
"Kalus, *Payment will be delivered upon news that William has been eliminated. You are free to do with Blackwater what you want afterwards. *-CM","Kalus, *Payment will be delivered upon news that William has been eliminated. You are free to do with Blackwater what you want afterwards. *-CM",pending,existing_corpus | exe:resource@0x552770:line
"""Goblin Clans of Thaermore"" *Goblins have always been a nuisance to the people of the eastern provinces. Like weeds and mosquitoes, it was a common acceptance that goblins were just here to annoy us, mucking around and causing trouble. Luckily the common goblin is just that- a nuisance that is easily scared away when confronted. Early settlers learned that just keeping a dog nearby or a lantern lit was usually enough to keep the Goblins from stealing chickens at night. *This changed in the late 5th century when Goblins began to organize themselves into clans. Suddenly there appeared Goblin war units capable of causing great harm to others. They stopped being a nuisance and became a danger. During the skirmishes of 590, the Commonwealth Guard experienced noted difficulty in suppressing Goblin raids in the southlands. After securing most of Thaermore, a large wall called the Southern Gate was built to keep the Goblins contained in Crakamir. Human settlers were evacuated from the desert lands. The Chancellor proclaimed it a victory for humans; the Goblins clans claimed it a victory for themselves. *Much was learned of the Goblin war clans at that time. The basic warrior, called the Goblin Hacker, uses a short sword or machete in a savage but effective attack. Goblin Archers have been witnessed to have impressive accuracy with short bows. And the Goblin Bombthug, a unit strapped with a keg of Bangdust, is fully prepared to sacrifice himself in the defense of the unit or a higher officer. Although most Goblins are not known to possess magickal abilities, there are reports of Goblin Shaman among the clan population. *The Goblin unit is loosely assembled and generally led by a Warlord. Warlords answer to a higher officer, usually the clan leader. ""Clan leader"" is a position held by the strongest goblin; at any time the leader may be challenged and overthrown by a more powerful Goblin.","""Goblin Clans of Thaermore"" *Goblins have always been a nuisance to the people of the eastern provinces. Like weeds and mosquitoes, it was a common acceptance that goblins were just here to annoy us, mucking around and causing trouble. Luckily the common goblin is just that- a nuisance that is easily scared away when confronted. Early settlers learned that just keeping a dog nearby or a lantern lit was usually enough to keep the Goblins from stealing chickens at night. *This changed in the late 5th century when Goblins began to organize themselves into clans. Suddenly there appeared Goblin war units capable of causing great harm to others. They stopped being a nuisance and became a danger. During the skirmishes of 590, the Commonwealth Guard experienced noted difficulty in suppressing Goblin raids in the southlands. After securing most of Thaermore, a large wall called the Southern Gate was built to keep the Goblins contained in Crakamir. Human settlers were evacuated from the desert lands. The Chancellor proclaimed it a victory for humans; the Goblins clans claimed it a victory for themselves. *Much was learned of the Goblin war clans at that time. The basic warrior, called the Goblin Hacker, uses a short sword or machete in a savage but effective attack. Goblin Archers have been witnessed to have impressive accuracy with short bows. And the Goblin Bombthug, a unit strapped with a keg of Bangdust, is fully prepared to sacrifice himself in the defense of the unit or a higher officer. Although most Goblins are not known to possess magickal abilities, there are reports of Goblin Shaman among the clan population. *The Goblin unit is loosely assembled and generally led by a Warlord. Warlords answer to a higher officer, usually the clan leader. ""Clan leader"" is a position held by the strongest goblin; at any time the leader may be challenged and overthrown by a more powerful Goblin.",pending,existing_corpus | exe:resource@0x552770:line
"""The Orakur are watching!"" *A collection of scary stories for children. *This appears to be a children's book about Orakur. It is arranged in short chapters that tell tales of Orakur coming up from wells and caves to snatch naughty children away in their sleep. It is accompanied by woodcut images of Orakur, of which no two images appear to match. Some appear small and sneaking, others appear large and menacing. *Although you find the stories amusing, the book contains no relevant information regarding the legitimacy of the Orakur- whether they are real or just a product of fables.","""The Orakur are watching!"" *A collection of scary stories for children. *This appears to be a children's book about Orakur. It is arranged in short chapters that tell tales of Orakur coming up from wells and caves to snatch naughty children away in their sleep. It is accompanied by woodcut images of Orakur, of which no two images appear to match. Some appear small and sneaking, others appear large and menacing. *Although you find the stories amusing, the book contains no relevant information regarding the legitimacy of the Orakur- whether they are real or just a product of fables.",pending,existing_corpus | exe:resource@0x552770:line
